AS211931,"Xinye Grass Technology Co., Limited"
AS11351,Charter Communications Inc
AS52304,NIC Chile
AS271814,NEXTNET SAC
AS140070,Adelaide Oval SMA Ltd
AS54041,Evan Warren Pratten
AS51966,Fondation RESTENA
AS4749,WiseTechGlobal Pty Ltd
AS202540,Christopher Stephens
AS396654,Verisign Anycast US 2K
AS19679,"Dropbox, Inc."
AS35872,"FreedomPay, Inc."
AS24151,China Internet Network Infomation Center
AS3549,Lumen (fka. Global Crossing)
AS19855,"Masergy Communications, Inc."
AS23467,New Relic
AS29990,Xandr Inc.
AS30893,No ACK Group Holding AB
AS47037,ScoutDNS
AS57976,"Blizzard Entertainment, Inc"
AS54113,"Fastly, Inc."
AS397849,ZOHO
AS58057,Securebit AG
AS42465,Forcepoint Cloud Ltd
AS1975,PROQUEST LLC
AS40092,HostPapa
AS398962,CONTROLD INC.
AS205794,JINZE YANG
AS24482,SG.GS
AS209453,Gandi LiveDNS Anycast
AS209297,NICHI YOROZUYA LTD
AS10104,BV K Computer
AS7029,Windstream Communications LLC
AS24445,"Henan Mobile Communications Co.,Ltd"
AS199524,Gcore S.A.
AS210756,EdgeCenter LLC
AS58182,Wix.com Ltd.
AS9179,BINK GROUP LTD
AS23352,DEFT.COM
AS62659,"Q2 Software, Inc."
AS152851,RJOC Limited
AS44043,Cyber_Folks SRL
AS4837,China Unicom Backbone
AS62525,LifeLabs Medical Laboratory Services
AS214087,EXO TECHNOLOGIES spol. s r.o.
AS135354,NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.
AS63113,Globecorp Networks
AS43515,Google Ireland Limited
AS35280,F5 Networks SARL
AS140042,Zhipinshang (Hongkong) Electron Communication Technology Limited
AS216324,Hyper Group Network Ltd.
AS62731,247RACK.com
AS396970,"CommandLink, LLC"
AS32221,Baron Services
AS216107,Noah van der Aa trading as Frumentum Media
AS398987,PhirePhly Design
AS60900,Ssmidge LLC
AS149614,TRANSACTION SOLUTIONS INTERNATIONAL INDIA PRIVATE LIMITED
AS3561,Lumen (ex. Savvis)
AS18366,APNIC ANYCAST ASN
AS42751,"JSC ""RU-CENTER"""
AS10461,Eze Castle Software LLC
AS133050,CNCNA Pty Ltd
AS55542,Roads and Maritime Services
AS42649,Baffin Bay Networks AB
AS60725,SES ASTRA S.A.
AS1508,U.S. Army Research Lab - H-root
AS399049,Joe Wheeler EMC
AS397273,Render
AS18369,APNIC ANYCAST ASN
AS1273,Vodafone Group PLC
AS32244,"Liquid Web, L.L.C"
AS36344,Virtuozzo Inc.
AS25773,RADWARE INC.
AS16552,Tiggee LLC
AS328126,Orange Tunisie
AS138627,"Cato Networks, Inc."
AS45916,Gujarat Telelink Pvt Ltd
AS138535,Wu Qi
AS24429,Alibaba Cloud
AS200325,Bunny.net
AS198412,Rage4 Networks Limited
AS43927,HOSTERION SRL
AS207419,Richard Marino
AS20115,Charter Communications LLC
AS14717,EZE Castle Integration Inc.
AS41095,IPTP LTD
AS214731,ETO Networks Limited
AS1149,SURF B.V.
AS140614,"ASIA-ISP CO., LIMITED"
AS40138,"Mach Dilemma, LLC"
AS7215,"Ntirety, Inc."
AS200107,Kaspersky Lab Switzerland GmbH
AS11273,"Fiserv Solutions, LLC"
AS60952,Connex Carrier Services (Worldwide) Limited
AS12654,RIPE NCC - RIS
AS19254,"Koch Industries, Inc."
AS53535,ARIN Operations
AS33905,Akamai International B.V.
AS22300,"Wikia, Inc."
AS396549,Verisign Anycast GB 0A
AS206671,Michael Jones
AS2559,VISA INTERNATIONAL SERVICE ASSOCIATION
AS36198,ZDM Network Solutions LLC (Erik Seidel)
AS214030,Kai-Wen Zheng
AS33438,Datum
AS9678,HostingInside LTD.
AS205157,Daniel Cid
AS199289,Kobalt ApS
AS20940,Akamai International B.V.
AS210753,Tilda Publishing JSC
AS151397,China Telecom
AS48161,NEXTGEN COMMUNICATIONS SRL
AS44788,Criteo Technology SAS
AS112,AS112 Project
AS57926,"SafeDNS, Inc."
AS6619,SamsungSDS Inc.
AS36232,"Nextgi, LLC."
AS399107,Teridion inc
AS151194,Zhu Yucheng
AS397213,"Vercara, LLC"
AS60068,Datacamp Limited (CDN77 / DataPacket)
AS56046,China Mobile Beijing Province Network
AS215764,Ismael Munoz Hernandez
AS27715,Locaweb Serviços de Internet S/A
AS22649,CodingDirect LLC
AS60890,CentralNic Ltd
AS39588,Mimecast Services Limited
AS12041,"Afilias, Inc."
AS50611,Knipp Medien und Kommunikation GmbH
