AS8386,Vodafone Turkey
AS6856,"AO IK ""Informsvyaz-Chernozemye"""
AS41691,PJSC Rostelecom
AS34533,"JSC ""ER-Telecom Holding"""
AS20485,JSC TransTeleKom
AS18403,FPT Telecom Company
AS18209,"Atria Convergence Technologies Ltd.,"
AS11290,Cogeco Connexion inc
AS8612,Tiscali Italia S.P.A.
AS6876,TENET Scientific Production Enterprise LLC
AS3816,COLOMBIA TELECOMUNICACIONES S.A. ESP
AS37705,TOPNET
AS32489,Amanah Tech Inc.
AS28006,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
AS21021,Multimedia Polska Sp. z o.o.
AS18419,DaDa Broadband LTD.
AS1759,Telia Finland Oyj
AS14868,Ligga Telecomunicações S.A.
AS8374,Polkomtel Sp. z o.o.
AS719,Elisa Oyj
AS56044,China Mobile communications corporation
AS12668,"LLC ""KomTehCentr"""
AS4847,China Telecom Beijing Province Network
AS3741,Dimension Data
AS36907,TV CABO ANGOLA LDA
AS22909,"Comcast Cable Communications, LLC"
AS12644,Telemach Slovenija d.o.o.
AS9617,"JCOM Co., Ltd."
AS9329,Sri Lanka Telecom Internet
AS8193,"""Uzbektelekom"" Joint Stock Company"
AS6805,Telefonica Germany (o2)
AS40788,Start Communications
AS3265,KPN B.V.
AS28812,"PJSC ""Bashinformsvyaz"""
AS24445,"Henan Mobile Communications Co.,Ltd"
AS24400,"Shanghai Mobile Communications Co.,Ltd."
AS22258,"Comcast Cable Communications, LLC"
AS21127,Joint Stock Company TransTeleCom
AS15802,Emirates Integrated Telecommunications Company PJSC
AS9930,TIME dotCom Bhd
AS7679,"QTnet,Inc."
AS7122,Bell Canada
AS51570,"JSC ""ER-Telecom Holding"""
AS44391,JSC Elektrosvyaz
AS3326,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP"""
AS24164,UNION BROADBAND NETWORK
AS17501,WorldLink Communications Pvt Ltd
AS15377,TRADITIONAL LLC
AS132525,HeiLongJiang Mobile Communication Company Limited
AS13127,Odido Netherlands B.V.
AS11260,EastLink
AS9416,Hoshin Multimedia Center Inc.
AS6730,Sunrise GmbH
AS52075,Wifirst S.A.S.
AS35816,Lancom Ltd.
AS31252,StarNet Solutii SRL
AS26599,Telefônica Brasil
AS23700,PT Link Net Tbk
AS18049,Taiwan Infrastructure Network Technologie
AS11814,Distributel Communications Limited
AS11492,"CABLE ONE, INC."
AS8462,Tarr Kft.
AS6703,"PRIVATE JOINT-STOCK COMPANY ""FARLEP-INVEST"""
AS39603,P4 Sp. z o.o.
AS29571,Orange Côte d'Ivoire
AS24757,Ethio telecom
AS17639,Converge ICT Solutions Inc.
AS15435,DELTA Fiber Nederland B.V.
AS133982,Excitel Broadband Private Limited
AS12768,"JSC ""ER-Telecom Holding"""
AS9790,Two Degrees Networks Limited
AS6503,"Axtel, S.A.B. de C.V."
AS50543,"JSC ""ER-Telecom Holding"""
AS45769,D-Vois Broadband Pvt Ltd
AS41668,"JSC ""ER-Telecom Holding"""
AS39435,"JSC ""ER-Telecom Holding"""
AS39102,Global Network Management Inc
AS33660,"Comcast Cable Communications, LLC"
AS33489,"Comcast Cable Communications, LLC"
AS31343,Intertelecom Ltd
AS24835,Vodafone Egypt
AS23184,Persona Communications Inc.
AS16086,DNA Oyj
AS131627,"Peicity Digital Cable Television., LTD"
AS8953,Orange Romania S.A.
AS56300,MyRepublic Ltd.
AS49724,JSC Vainah Telecom
AS33661,"Comcast Cable Communications, LLC"
AS31036,"JSC ""ER-Telecom Holding"""
AS28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A
AS27947,Telconet S.A
AS25144,Telekomunikacije Republike Srpske a.d.
AS24651,JSC BALTICOM
AS23693,PT. Telekomunikasi Selular
AS21412,"UAB ""Cgates"""
AS14813,Columbus Telecommunications (Barbados) Limited
AS7482,Asia Pacific On-line Service Inc.
AS6821,Makedonski Telekom AD-Skopje
AS58073,YISP B.V.
AS51604,"JSC ""ER-Telecom Holding"""
AS50266,Odido Netherlands B.V.
AS42145,"JSC ""ER-Telecom Holding"""
AS34977,PROCONO S.A.
AS34145,"JSC ""ER-Telecom Holding"""
AS3255,Ukrainian Academic and Research Network
AS29256,Syrian Telecommunication Private Closed Joint Stock Company
AS25255,Hutchison Drei Austria GmbH
AS25106,Mobile TeleSystems JLLC
AS24863,Link Egypt (Link.NET)
AS198471,Opnet Srl
AS13272,Elisa Eesti AS
AS12912,T-Mobile Polska S.A.
AS12709,Melita Limited
AS9908,HK Cable TV Ltd
AS51645,"JSC ""ER-Telecom Holding"""
AS4764,Aussie Broadband
AS4721,"JCOM Co., Ltd."
AS43557,Norlys Fibernet A/S
AS42437,T2 Mobile LLC
AS41798,JSC Transtelecom
AS21508,"Comcast Cable Communications, LLC"
AS13046,Hrvatski Telekom d.d.
AS11232,Midcontinent Communications
AS10429,TELEFÔNICA BRASIL S.A
AS8591,"A1 Slovenija telekomunikacijske storitve,d.d."
AS803,Saskatchewan Telecommunications
AS6535,Telmex Servicios Empresariales S.A.
AS4704,"Rakuten Mobile, Inc."
AS44604,JSC KVANT-TELEKOM
AS44395,Ucom CJSC
AS34602,MEGASVYAZ LLC
AS33588,Charter Communications LLC
AS29614,TELECEL GHANA AS INTERNATIONAL TRANSIT
AS28885,Oman Telecommunications Company (S.A.O.G)
AS23889,Mauritius Telecom Ltd
AS20910,"SIA ""BITE Latvija"""
AS201776,Miranda-Media Ltd
AS18081,"Kintetsu Cable Network Co., Ltd."
AS15994,A1 Hrvatska d.o.o.
AS14117,Telefonica del Sur S.A.
AS12978,ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.
AS12946,"R Cable y Telecable Telecomunicaciones, S.A.U."
AS12400,Partner Communications Ltd.
AS9146,BH Telecom d.d.
AS56420,"JSC ""ER-Telecom Holding"""
AS56048,China Mobile Group Beijing Company
AS48161,NEXTGEN COMMUNICATIONS SRL
AS47771,Vivacom Bulgaria EAD
AS45629,JasTel Network International Gateway
AS43612,A1 Makedonija DOOEL
AS42560,Telemach BH d.o.o. Sarajevo
AS3737,PenTeleData Inc.
AS31012,A1 Hrvatska d.o.o.
AS23674,Nayatel (Pvt) Ltd
AS21299,Kar-Tel LLC
AS19429,ETB - Colombia
AS8331,"JSC ""ER-Telecom Holding"""
AS56478,Hyperoptic Ltd
AS50923,Metroset Ltd.
AS44869,FIBIA P/S
AS41682,"JSC ""ER-Telecom Holding"""
AS34700,"Maxnet Telecom, LTD"
AS34594,Telemach Hrvatska d.o.o.
AS34456,Rial Com JSC
AS21211,"Penkiu kontinentu komunikaciju centras, Ltd."
AS2110,BT Communications Ireland Limited
AS15962,Orange Slovensko a.s.
AS12297,Telecom Armenia OJSC
AS9354,Community Network Center Inc.
AS8905,Digit One LLC
AS57378,"JSC ""ER-Telecom Holding"""
AS47377,Orange Belgium SA
AS43529,ViDaNet Cabletelevision Provider Ltd.
AS41754,"JSC ""ER-Telecom Holding"""
AS41268,LANTA Ltd
AS39927,E-Light-Telecom Ltd.
AS35728,MTS PJSC
AS31272,WildPark Co
AS23688,Link3 Technologies Ltd.
AS21453,Flex Ltd.
AS1901,A1 Telekom Austria AG
AS11404,Wave Broadband
AS8728,AS INFONET
AS8439,PJSC Rostelecom
AS6181,Cincinnati Bell Telephone Company LLC
AS52207,"JSC ""ER-Telecom Holding"""
AS4725,SoftBank Corp.
AS39184,UltraNET Ltd
AS38264,Wateen Telecom
AS34754,Vivacom Bulgaria EAD
AS24499,Telenor Pakistan
AS23201,TIGO Paraguay
AS15419,"SC ""Lithuanian Radio and TV Center"""
AS12735,TurkNet Iletisim Hizmetleri A.S.
AS8717,A1 Bulgaria EAD
AS7532,Gamania CloudForce
AS49037,Prostie Reshenia LLC
AS48176,OOO SET
AS45510,Telcoinabox Operations Pty Ltd
AS43939,Netia SA
AS42668,"Nevalink, LLC"
AS37671,3S INF
AS37204,Telone PVT Ltd
AS35432,Cablenet Communication Systems plc
AS34187,LLC Renome-Service
AS30844,Liquid Intelligent Technologies 
AS22085,Claro S/A
AS16342,Toya sp.z.o.o
AS14080,Telmex Colombia S.A.
AS13110,INEA sp. z o.o.
AS11888,"Television Internacional, S.A. de C.V."
AS6677,Míla hf
AS5416,BEYON B.S.C.
AS5413,Daisy Corporate Services Trading Ltd
AS50710,Earthlink Telecommunications Equipment Trading & Services DMCC
AS41937,Telekom Srbija a.d.
AS4181,TDS TELECOM
AS41727,"JSC ""ER-Telecom Holding"""
AS33654,"Comcast Cable Communications, LLC"
AS31257,Orion Telecom LLC
