AS8681,JT (Jersey) Limited
AS398378,Boost Mobile
AS393559,"WEBBING USA, INC."
AS37054,Telecom Malagasy
AS16637,MTN SA (Bayobab)
AS139994,PT XL Axiata Tbk
AS4713,NTT Communications Corporation (OCN)
AS9249,Telecom Vanuatu Limited
AS9534,Maxis
AS4808,China Unicom Beijing Province Network
AS24445,"Henan Mobile Communications Co.,Ltd"
AS4812,China Telecom Shanghai Province Network
AS38819,HKCSL GPRS NETWORK
AS20879,Digi Portugal
AS701,Verizon Business
AS812,Rogers Communications Canada Inc.
AS852,TELUS Communications Inc.
AS4818,DiGi Telecommunications Sdn. Bhd.
AS327756,AIRTEL TCHAD
AS39944,Telecom North America Inc.
AS24921,Latvijas Mobilais Telefons SIA
AS21497,Vodafone Ukraine
AS17924,SmarTone Mobile Communications Ltd
AS25311,DIGI Belgium
AS38742,Afghan Wireless Communication Company
AS4609,Companhia de Telecomunicacoes de Macau SARL
AS30967,TP Global Operations Limited
AS45498,"SMART AXIATA Co., Ltd."
AS15924,Vodafone Turkey
AS22085,Claro S/A
