AS4804,Optus (Microplex PTY LTD)
AS23031,TELECU TELECOMUNICACIONES DEL ECUADOR TELECUSA S.A.S.
AS21263,TeleData GmbH
AS262880,RADAR WISP LTDA
AS267811,FRESH TECHS C.A.
AS394146,Tri City WiFi Corp.
AS29075,IELO-LIAZO SERVICES SAS
AS135905,Vietnam P&T
AS14371,Paul Bunyan Communications
AS207375,Fiber Operator B.V.
AS272156,WEB MASTER COLOMBIA SAS
AS270577,NET TOP
AS398143,Great Lakes Energy Connections Inc.
AS141073,PT Juragan Wifi Indonesia
AS63927,RISE
AS6848,Telenet BV
AS150519,PT Harmonika Multimedia Sawangan
AS14840,BR.DIGITAL 
AS208599,Lounea Palvelut Oy
AS42689,Glide Student & Residential Limited
AS131584,"Taiwan Intelligent Fiber Optic Network Co.,Ltd."
AS53407,UTOPIA Fiber
AS36728,Emery Telcom
AS34224,Neterra Ltd.
AS11525,NineStar Connect
AS138561,APNIC ASN block
AS400268,Pierce Pepin Cooperative Services
AS4764,Aussie Broadband
AS11114,Wintek Corporation
AS212897,JETNET KOMUNIKACIJE DOO
AS21949,Beanfield Technologies Inc.
AS30781,Free Pro SAS
AS9021,Is Net Elektonik Bilgi Uretim Dagitim Ticaret ve Iletisim Hizmetleri A.S.
AS206774,Internetnord AB
AS34984,Superonline Iletisim Hizmetleri A.S.
AS395466,Global Net
AS29695,Lyse Tele AS
AS17635,GoldNet Pty Ltd
AS62943,Bluebird Network
AS196976,team.blue Denmark (Zitcom)
AS150501,PT Haci Telekomunikasi Indonesia
AS24203,PT XL Axiata Tbk
AS150279,PT Lintas Network Solusi
AS149723,PT Afna Digital Indonesia
AS58715,EARTH TELECOMMUNICATION (Pvt) LTD.
AS31027,GlobalConnect A/S
AS204779,Local Loop Oy
AS9293,NTT Com Asia Limited
AS263703,VIGINET C.A (vnet)
AS21826,Corporación Telemic C.A. (Inter)
AS150940,PT Mapalus Media Telekomunikasi
AS208819,Uwe Zillner trading as Zillner IT
AS6758,Monaco Telecom S.A.
AS141215,Dotcom International Pvt. Limited
AS58396,PT Dewata Telematika
AS136841,PT Mitra Telemedia Manunggal
AS55666,PT Media Sarana Data
AS138884,PT Centronet Data Indonesia
AS38524,PT Laxo Global Akses
AS132641,PT Netciti Persada
AS58369,PT Fiber Networks Indonesia
AS23679,PT Media Antar Nusa
AS142394,PT Cahaya Solusindo Internusa
AS4800,PT Aplikanusa Lintasarta
AS58552,PT Multidata Rancana Prima
AS63072,SPYR Network Ltd
AS23700,PT Link Net Tbk
AS63859,PT Eka Mas Republik
AS141137,PT Media Cepat Indonesia
AS58821,PT Lintas Jaringan Nusantara
AS135477,PT Java Digital Nusantara
AS38753,PT Solusindo Bintang Pratama
AS133354,PT Anugerah Karunia Perkasa Abadi
AS45325,PT PC24 Telekomunikasi Indonesia
AS56246,PT Sumber Data Indonesia
AS9341,PT Indonesia Comnets Plus
AS4787,PT Cyberindo Aditama
AS23951,PT Jembatan Citra Nusantara
AS4761,PT Indosat Tbk
AS17547,M1 NET LTD
AS140632,NET SATELLITE
AS136700,Sefaro Networks Private Limited
AS17451,Biznet Networks
AS141618,PT Asia Central Telematika
AS24527,PT Hanasta Dakara
AS141985,PT Argon Internet Amariqindo
AS9340,PT Indointernet Tbk
AS38750,PT Telemedia Dinamika Sarana
AS37497,Network Platforms (PTY) LTD
AS328596,Mind the Speed (PTY) Ltd
AS133283,FUTURE NETSANCHAR LIMITED
AS142398,PT Digital Akses Nusantara
AS55701,PT Usaha Adi Sanggoro
AS138881,PT Indonesia Trans Network
AS138089,PT Global Media Data Prima
AS138128,PT Solnet Indonesia
AS135636,PT RackH Lintas Asia
AS7713,PT Telkom Indonesia Tbk
AS45298,PT Interlink Technology
AS150242,PT Kampung Dua Net
AS17670,PT MNC Kabel Mediacom
AS141461,PT MNC Kabel Mediacom
AS141921,PT Jaringan Keluarga Bersama
AS45287,PT Varnion Technology Semesta
AS139967,PT Yasmin Amanah Media
AS38165,PT Ambhara Duta Shanti
AS134651,PT Yetoya Solusi Indonesia
AS138866,PT Mitra Media Data
AS131706,PT Selaras Citra Terabit
AS142360,PT Internet Mulia Untuk Negeri
AS45305,PT Lintas Data Prima
AS138871,PT Trans Indonesia Superkoridor
AS9657,PT Melvar Lintasnusa
AS38517,PT Bangsawan Cyberindo
AS58392,PT Sewiwi Indonesia
AS9905,PT Link Net Tbk
AS24534,PT Trans Hybrid Communication
AS9422,PT Solnet Indonesia
AS18059,PT Dwi Tunggal Putra
AS141081,PT Indo Access Semesta
AS135439,PT Adnet Media Indonesia
AS45315,PT Polarisnet
AS24532,PT Inet Global Indo
AS38758,PT Hipernet Indodata
AS136861,PT Artamedia Citra Telematika Indonesia
AS139428,PT Lexxa Data Indonusa
AS9304,HGC Global Communications Limited
AS45701,PT Internet Madju Abad Milenindo
