saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
81.173.44.1,19705169,192.168.50.16,271755456,1940,242,udp,1,161.0,50905.0,,,,,113.0,3067020103300e02024a6902020800040100020103041f301d040c0000000903005087897e0b24020102020402d178180400040004003031040c0000000903005087897e0b240400a81f020237f002010002010030133011060a2b060106030f010104004103013319,0,0,2025-05-17T16:43:04.258+0200,1747492984,258937
37.46.122.1,24784421,192.168.50.16,271755456,0,55,udp,1,161.0,54212.0,,,,,110.0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f001c7375b6cb00020104020405ca021d040004000400302f040af5717f001c7375b6cb000400a81f020237f002010002010030133011060a2b060106030f01010400410300c582,0,0,2025-05-17T16:43:04.258+0200,1747492984,258974
212.78.206.169,2848870100,192.168.50.16,271755456,902,249,udp,1,161.0,38717.0,,,,,112.0,3066020103300e02024a69020205dc040100020103041f301d040c800000090300c464131544b0020103020400a642530400040004003030040c800000090300c464131544b00400a81e020237f002010002010030123010060a2b060106030f0101040041020d1b,0,0,2025-05-17T16:43:04.259+0200,1747492984,259011
145.131.155.50,849052561,192.168.50.16,271755456,52709,241,udp,1,161.0,45712.0,,,,,112.0,3066020103300e02024a69020205dc040100020103041f301d040c800000090300885a92637700020101020414a1dbc80400040004003030040c800000090300885a926377000400a81e020237f002010002010030123010060a2b060106030f0101040041027e1f,0,0,2025-05-17T16:43:04.259+0200,1747492984,259057
217.170.23.172,2887232217,192.168.50.16,271755456,5027,248,udp,1,161.0,35819.0,,,,,114.0,3068020103300e02024a69020205dc040100020103041f301d040c800000090300a4934c30c00002010802040a475f480400040004003032040c800000090300a4934c30c0000400a820020237f002010002010030143012060a2b060106030f0101040041047146a424,0,0,2025-05-17T16:43:04.259+0200,1747492984,259094
149.14.142.234,3935178389,192.168.50.16,271755456,23911,246,udp,1,161.0,42143.0,,,,,112.0,3066020103300e02024a69020205dc040100020103041f301d040c80000009030000a6cacf660002010a02040129b9540400040004003030040c80000009030000a6cacf66000400a81e020237f002010002010030123010060a2b060106030f0101040041021485,0,0,2025-05-17T16:43:04.259+0200,1747492984,259132
193.169.170.1,27961793,192.168.50.16,271755456,55363,55,udp,1,161.0,36672.0,,,,,97.0,3057020103300f02024a69020300ffe304010002010304153013040580003a8c04020100020100040004000400302a040580003a8c040400a81f020237f002010002010030133011060a2b060106030f01010400410300804d,0,0,2025-05-17T16:43:04.259+0200,1747492984,259165
185.66.106.2,40518329,192.168.50.16,271755456,42594,245,udp,1,161.0,50128.0,,,,,112.0,3066020103300e02024a69020205dc040100020103041f301d040c800000090300004268580100020112020402b0f9a80400040004003030040c8000000903000042685801000400a81e020237f002010002010030123010060a2b060106030f0101040041026087,0,0,2025-05-17T16:43:04.259+0200,1747492984,259242
95.99.132.1,25453407,192.168.50.16,271755456,62333,245,udp,1,161.0,32863.0,,,,,113.0,3067020103300e02024a6902020800040100020103041f301d040c502660000000010030000120020106020402e5b3820400040004003031040c5026600000000100300001200400a81f020237f002010002010030133011060a2b060106030f01010400410300d1e9,0,0,2025-05-17T16:43:04.259+0200,1747492984,259294
193.38.140.1,25962177,192.168.50.16,271755456,4424,56,udp,1,161.0,52250.0,,,,,108.0,3062020103300f02024a69020300ffe3040100020103041c301a040980000a4c01b2d95005020103020400e4e6a7040004000400302e040980000a4c01b2d950050400a81f020237f002010002010030133011060a2b060106030f01010400410301467e,0,0,2025-05-17T16:43:04.259+0200,1747492984,259397
